City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Conditions
0,Saldanha,ZA,-33.01,17.94,48.2,81,98,1.12,overcast clouds
1,Qeshm,IR,26.96,56.27,89.6,74,20,11.41,few clouds
2,Pangnirtung,CA,66.15,-65.71,44.6,93,90,2.95,light intensity drizzle
3,Kruisfontein,ZA,-34.0,24.73,59.0,87,100,3.0,overcast clouds
4,Tambacounda,SN,13.75,-13.76,82.4,83,100,6.93,overcast clouds
5,Dakoro,NE,14.51,6.76,79.38,73,57,16.4,heavy intensity rain
6,Orbetello,IT,42.44,11.22,73.4,73,32,4.7,scattered clouds
7,Staryy Nadym,RU,65.61,72.68,52.2,83,99,8.7,overcast clouds
8,Mahebourg,MU,-20.41,57.7,69.8,83,40,11.41,scattered clouds
9,Jamestown,US,42.1,-79.24,78.01,65,1,6.93,clear sky
10,Bowmore,US,34.94,-79.3,77.0,88,75,5.82,light rain
11,Robertson,US,36.52,-86.87,87.8,52,1,2.44,clear sky
12,Vrnjacka Banja,RS,43.62,20.9,64.4,100,90,1.54,overcast clouds
13,Grindavik,IS,63.84,-22.43,46.4,93,96,2.24,overcast clouds
14,Bredasdorp,ZA,-34.53,20.04,51.8,93,100,1.12,overcast clouds
15,Sept-Iles,CA,50.2,-66.38,61.0,67,75,4.7,broken clouds
16,Cape Town,ZA,-33.93,18.42,53.01,93,97,2.24,overcast clouds
17,Tashla,RU,51.77,52.74,60.44,75,2,2.93,clear sky
18,Ushuaia,AR,-54.8,-68.3,35.6,69,40,5.82,shower rain
19,Beyneu,KZ,45.32,55.2,69.85,39,89,6.6,overcast clouds
20,Busselton,AU,-33.65,115.33,50.0,96,65,6.64,broken clouds
21,Toropets,RU,56.5,31.64,54.16,96,1,4.47,clear sky
22,Shakawe,BW,-18.37,21.85,58.95,39,0,1.92,clear sky
23,Kosh-Agach,RU,50.0,88.67,48.24,74,91,3.58,overcast clouds
24,Alvorada,BR,-12.48,-49.12,84.4,36,81,4.23,broken clouds
25,Port Alfred,ZA,-33.59,26.89,62.35,82,100,17.65,overcast clouds
26,Vardo,NO,70.37,31.11,48.2,81,40,9.17,scattered clouds
27,Tasiilaq,GL,65.61,-37.64,41.0,75,2,4.7,clear sky
28,Hermanus,ZA,-34.42,19.23,54.0,88,93,8.52,overcast clouds
29,Belmonte,BR,-15.86,-38.88,68.0,68,75,5.82,broken clouds
30,Jericho,PS,31.87,35.45,72.0,52,0,1.99,clear sky
31,Luziania,BR,-16.25,-47.95,75.2,50,82,9.17,broken clouds
32,Melilla,ES,35.29,-2.94,78.8,83,26,4.7,scattered clouds
33,Bonthe,SL,7.53,-12.51,76.6,85,98,12.15,overcast clouds
34,Ribeira Grande,PT,38.52,-28.7,73.76,91,58,12.01,broken clouds
35,Jumla,NP,29.27,82.18,63.18,72,100,2.06,overcast clouds
36,Male,MV,4.17,73.51,84.2,79,20,6.93,few clouds
37,Kamina,CD,-8.74,24.99,66.36,64,56,4.41,broken clouds
38,Phalaborwa,ZA,-23.94,31.14,68.0,34,0,4.7,clear sky
39,Millinocket,US,45.66,-68.71,66.2,88,90,2.84,overcast clouds
40,Zamora,EC,-4.07,-78.96,67.15,68,19,0.92,few clouds
41,Port Elizabeth,ZA,-33.92,25.57,60.8,87,90,10.29,overcast clouds
42,Vila Velha,BR,-20.33,-40.29,68.0,77,20,13.87,few clouds
43,Rehoboth,NA,-23.32,17.08,53.96,36,0,5.19,clear sky
44,Arlit,NE,18.74,7.39,92.93,37,4,5.35,clear sky
45,Cayenne,GF,4.93,-52.33,80.6,83,2,3.36,clear sky
46,Saint-Louis,SN,16.33,-15.0,86.04,65,36,13.94,scattered clouds
47,Ostrovnoy,RU,68.05,39.51,52.34,83,12,12.39,few clouds
48,Dikson,RU,73.51,80.55,45.7,86,75,10.67,broken clouds
49,Taoudenni,ML,22.68,-3.98,96.75,13,0,5.73,clear sky
50,Grand Gaube,MU,-20.01,57.66,71.01,76,59,3.0,broken clouds
51,Marawi,PH,8.0,124.29,77.0,81,61,8.01,broken clouds
52,Opuwo,NA,-18.06,13.84,65.79,57,42,3.98,scattered clouds
53,Amiens,FR,49.9,2.3,57.99,100,92,5.82,overcast clouds
54,Puerto Quijarro,BO,-17.78,-57.77,79.77,36,0,0.07,clear sky
55,Mahibadhoo,MV,3.78,72.97,84.09,69,3,8.16,clear sky
56,Sala Consilina,IT,40.39,15.6,65.84,87,48,2.98,scattered clouds
57,Kismayo,SO,-0.36,42.55,76.68,82,73,15.66,light rain
58,Tazmalt,DZ,36.39,4.4,75.2,78,20,4.7,few clouds
59,Kasempa,ZM,-13.46,25.83,57.18,40,0,5.39,clear sky
60,Codrington,AU,-38.27,141.97,48.43,81,58,9.08,broken clouds
61,Luanda,AO,-8.84,13.23,71.6,83,75,2.24,broken clouds
62,Carnarvon,AU,-24.87,113.63,60.8,93,0,12.75,clear sky
63,Georgetown,MY,5.41,100.34,80.6,94,20,3.36,few clouds
64,Victoria,HK,22.29,114.16,87.01,84,2,8.99,clear sky
65,Punta Arenas,CL,-53.15,-70.92,35.6,74,0,5.82,clear sky
66,Bud,US,39.45,-86.18,84.99,73,0,5.5,clear sky
67,Laguna,US,38.42,-121.42,93.2,21,90,9.17,haze
68,Marovoay,MG,-16.1,46.63,68.0,94,20,2.24,few clouds
69,Saint-Francois,FR,46.42,3.91,55.4,82,84,2.24,broken clouds
70,Qaanaaq,GL,77.48,-69.36,34.32,90,98,6.73,overcast clouds
71,Terrak,NO,65.09,12.37,48.2,87,100,19.46,light intensity shower rain
72,Richards Bay,ZA,-28.78,32.04,65.28,80,75,8.25,broken clouds
73,Teguldet,RU,57.31,88.17,50.94,97,61,3.15,broken clouds
74,Klaksvik,FO,62.23,-6.59,41.0,86,28,1.12,scattered clouds
75,East London,ZA,-33.02,27.91,63.66,82,99,14.05,light rain
76,Fasa,IR,28.94,53.65,77.0,23,7,2.86,clear sky
77,Rawson,AR,-43.3,-65.1,45.95,80,19,25.05,few clouds
78,Ourem,PT,39.64,-8.59,64.4,93,20,3.36,few clouds
79,Kavaratti,IN,10.57,72.64,81.05,82,100,13.35,overcast clouds
80,Ndele,CF,8.41,20.65,70.45,95,100,0.98,moderate rain
81,Mar Del Plata,AR,-38.0,-57.56,52.0,93,100,11.41,mist
82,Belyy Yar,RU,53.6,91.39,46.4,100,42,2.66,scattered clouds
83,Ygatimi,PY,-24.08,-55.5,69.03,76,0,8.37,clear sky
84,Clyde River,CA,70.47,-68.59,40.84,87,97,8.48,overcast clouds
85,Abu Kamal,SY,34.45,40.92,77.04,20,0,7.09,clear sky
86,Iqaluit,CA,63.75,-68.51,48.2,70,75,19.46,broken clouds
87,Turtas,RU,58.94,69.13,47.82,98,9,4.97,clear sky
88,Karasjok,NO,69.47,25.51,50.0,81,75,20.8,broken clouds
89,Saint-Philippe,RE,-21.36,55.77,69.8,63,42,5.82,light rain
90,Krasnoselkup,RU,65.7,82.47,51.67,85,30,7.81,scattered clouds
91,Chuy,UY,-33.7,-53.46,56.86,85,1,12.44,clear sky
92,Balkanabat,TM,39.51,54.37,68.63,51,8,7.87,clear sky
93,Atocha,BO,-20.93,-66.23,47.5,52,8,14.09,clear sky
94,Ferme-Neuve,CA,46.7,-75.45,67.15,93,42,2.95,scattered clouds
95,Quatre Cocos,MU,-20.21,57.76,71.01,83,40,11.41,scattered clouds
96,Bhadohi,IN,25.42,82.57,79.65,86,3,6.38,clear sky
97,Vila Franca Do Campo,PT,37.72,-25.43,73.4,88,20,10.29,few clouds
98,Uthal,PK,25.81,66.62,82.54,81,95,6.26,overcast clouds
99,Mosquera,CO,4.71,-74.23,55.4,93,75,2.24,light intensity drizzle
100,Itarema,BR,-2.92,-39.92,76.77,79,0,13.53,clear sky
101,Luderitz,NA,-26.65,15.16,54.95,84,0,5.75,clear sky
102,Castro,BR,-24.79,-50.01,50.05,94,5,8.19,clear sky
103,Amapa,BR,1.0,-52.0,73.26,91,46,4.09,scattered clouds
104,Coquimbo,CL,-29.95,-71.34,57.2,54,75,13.87,broken clouds
105,Jacqueville,CI,5.21,-4.41,75.2,94,20,5.82,few clouds
106,Escanaba,US,45.75,-87.06,82.4,58,1,8.05,clear sky
107,Ugoofaaru,MV,5.67,73.0,83.26,70,91,11.92,overcast clouds
108,Bria,CF,6.54,21.99,68.61,95,94,2.75,overcast clouds
109,Tahta,EG,26.77,31.5,84.2,26,0,5.82,clear sky
110,Tromso,NO,69.65,18.96,48.2,87,75,14.99,broken clouds
111,Sassandra,CI,4.95,-6.08,72.9,92,92,5.91,overcast clouds
112,Longyearbyen,SJ,78.22,15.64,39.2,69,20,9.17,few clouds
113,Torbay,CA,47.67,-52.73,60.01,93,20,9.17,few clouds
114,Loandjili,CG,-4.76,11.86,73.56,90,97,6.04,overcast clouds
115,Narsaq,GL,60.92,-46.05,48.2,76,5,3.36,clear sky
116,Inirida,CO,3.87,-67.92,74.86,94,97,1.77,light rain
117,Nueva Loja,EC,0.08,-76.88,73.4,88,90,2.24,overcast clouds
118,Macapa,BR,0.04,-51.07,82.4,100,40,5.82,scattered clouds
119,Sao Francisco De Assis,BR,-29.55,-55.13,64.53,76,73,11.63,broken clouds
120,Coihaique,CL,-45.58,-72.07,33.8,86,90,2.24,light snow
121,Porosozero,RU,62.72,32.73,52.02,93,100,7.4,overcast clouds
122,Songea,TZ,-10.68,35.65,59.07,81,2,2.64,clear sky
123,Pisco,PE,-13.7,-76.22,62.6,82,1,19.46,clear sky
124,Japura,ID,-0.32,102.35,74.16,96,93,3.65,moderate rain
125,Mogadishu,SO,2.04,45.34,76.46,83,100,14.83,overcast clouds
126,Muli,MV,2.92,73.57,83.77,68,38,6.08,scattered clouds
127,Omsk,RU,55.0,73.4,55.4,93,75,6.71,broken clouds
128,Guia Lopes Da Laguna,BR,-21.46,-56.11,72.88,65,4,9.46,clear sky
129,Nicolas Bravo,MX,18.45,-88.92,87.8,74,40,3.94,scattered clouds
130,Antofagasta,CL,-23.65,-70.4,59.0,58,40,5.82,scattered clouds
131,Vestmanna,FO,62.16,-7.17,41.0,86,14,1.12,few clouds
132,Vilhena,BR,-12.74,-60.15,78.8,50,25,5.82,scattered clouds
133,Tashara,RU,55.52,83.51,50.86,94,13,1.14,few clouds
134,Loncoche,CL,-39.37,-72.63,51.8,100,90,3.36,light rain
135,Yar-Sale,RU,66.83,70.83,47.39,88,80,5.82,broken clouds
136,Leh,IN,34.17,77.58,62.13,34,38,3.51,scattered clouds
137,Istiaia,GR,38.96,23.15,73.0,59,0,1.88,clear sky
138,Sinnamary,GF,5.38,-52.95,78.64,86,15,9.06,few clouds
139,Berlevag,NO,70.86,29.09,51.8,76,75,16.11,broken clouds
140,Saint George,US,37.1,-113.58,104.0,18,1,5.82,clear sky
141,Ilhabela,BR,-23.78,-45.36,63.55,73,0,5.41,clear sky
142,Sao Filipe,CV,14.9,-24.5,78.76,79,23,3.02,few clouds
143,Mehamn,NO,71.04,27.85,51.8,76,75,16.11,broken clouds
144,Abu Dhabi,AE,24.47,54.37,93.2,71,21,4.7,few clouds
145,Ponta Do Sol,PT,32.67,-17.1,73.4,69,40,23.04,scattered clouds
146,Matara,LK,5.95,80.54,76.75,89,96,5.97,overcast clouds
147,Rocha,UY,-34.48,-54.33,54.32,90,0,11.5,clear sky
148,Ilulissat,GL,69.22,-51.1,39.2,86,6,3.36,clear sky
149,Ulvik,NO,60.57,6.92,48.0,76,99,1.99,light rain
150,Inhambane,MZ,-23.86,35.38,68.41,84,0,11.41,clear sky
151,Atasu,KZ,48.68,71.64,56.79,79,100,16.6,overcast clouds
152,Margate,GB,51.38,1.39,64.0,83,96,4.0,light rain
153,Susurluk,TR,39.91,28.16,73.4,88,0,4.7,clear sky
154,Galle,LK,6.04,80.22,79.54,83,95,5.95,overcast clouds
155,Zonguldak,TR,41.25,31.83,62.04,68,0,3.51,clear sky
156,Mazagao,BR,-0.12,-51.29,82.4,100,40,5.82,scattered clouds
157,Upernavik,GL,72.79,-56.15,42.49,91,100,1.32,light rain
158,Saint-Georges,GD,12.06,-61.75,80.74,79,87,6.38,overcast clouds
159,Nuevitas,CU,21.55,-77.26,84.2,79,86,8.05,overcast clouds
160,Raudeberg,NO,61.99,5.14,48.99,92,100,17.09,light rain
161,Khoy,IR,38.55,44.95,59.83,59,0,2.66,clear sky
162,Dawlatabad,AF,36.41,64.91,68.61,41,1,2.98,clear sky
163,Mgandu,TZ,-5.95,34.13,58.32,78,1,9.73,clear sky
164,Ellisras,ZA,-23.66,27.74,56.61,39,0,1.32,clear sky
165,Channel-Port Aux Basques,CA,47.57,-59.14,60.33,78,5,11.52,clear sky
166,Tsiroanomandidy,MG,-18.77,46.03,59.65,74,0,2.44,clear sky
167,Manoel Urbano,BR,-8.84,-69.26,77.36,54,0,2.53,clear sky
168,Gambo,CF,4.65,22.26,68.13,97,91,0.63,overcast clouds
169,Macas,EC,-2.32,-78.12,68.0,82,20,10.29,few clouds
170,Lodeynoye Pole,RU,60.73,33.55,55.78,93,56,6.91,broken clouds
171,Charleston,US,32.78,-79.93,80.01,88,90,8.05,thunderstorm
172,Yarmouth,US,41.71,-70.23,78.01,83,1,6.93,clear sky
173,Havelock,US,34.88,-76.9,82.4,78,20,10.29,few clouds
174,Necochea,AR,-38.55,-58.74,57.99,83,100,5.01,overcast clouds
175,Marinette,US,45.1,-87.63,82.4,69,25,4.7,scattered clouds
176,Auriflama,BR,-20.69,-50.55,70.43,43,0,12.33,clear sky
177,Olafsvik,IS,64.89,-23.71,48.67,80,27,3.56,scattered clouds
178,Cacoal,BR,-11.44,-61.45,80.55,35,0,3.2,clear sky
179,Sao Joao Da Barra,BR,-21.64,-41.05,65.61,77,30,13.35,scattered clouds
180,Pauini,BR,-7.71,-66.98,78.82,40,80,1.16,broken clouds
181,Bengkulu,ID,-3.8,102.27,75.94,80,19,5.66,few clouds
182,Brewster,US,41.4,-73.62,84.2,54,1,5.82,clear sky
183,Souillac,MU,-20.52,57.52,69.8,83,40,11.41,scattered clouds
184,Bambous Virieux,MU,-20.34,57.76,71.01,83,40,11.41,scattered clouds
185,Gonen,TR,40.1,27.65,73.4,78,0,9.17,clear sky
186,Iguguno,TZ,-4.57,34.63,61.3,71,27,11.41,scattered clouds
187,Ziway,ET,7.93,38.72,62.38,86,60,10.02,light rain
188,Soyo,AO,-6.13,12.37,72.91,89,71,4.94,broken clouds
189,Dahuk,IQ,36.87,42.99,73.76,26,0,6.08,clear sky
190,Sapuyes,CO,1.04,-77.62,49.44,95,71,3.65,light rain
191,Hobyo,SO,5.35,48.53,76.23,79,93,24.85,overcast clouds
192,Tiznit,MA,29.58,-9.5,93.29,16,29,6.73,scattered clouds
193,Gargzdai,LT,55.71,21.4,64.4,77,88,3.36,light rain
194,Talnakh,RU,69.49,88.4,55.4,87,72,6.71,broken clouds
195,Iskateley,RU,67.68,53.15,54.09,96,100,3.96,overcast clouds
196,Brae,GB,60.4,-1.35,51.8,87,68,9.17,broken clouds
197,Yanam,IN,16.73,82.22,76.82,94,100,4.07,overcast clouds
198,Shubarkuduk,KZ,49.14,56.49,62.35,55,1,5.55,clear sky
199,Ayaviri,PE,-14.89,-70.59,49.91,42,1,6.91,clear sky
200,Nicoya,CR,10.15,-85.45,77.0,94,90,6.93,shower rain
201,Catamarca,AR,-28.47,-65.79,67.05,35,5,11.7,clear sky
202,Mosetse,BW,-20.75,26.65,58.33,45,0,5.99,clear sky
203,Luxeuil-Les-Bains,FR,47.82,6.37,53.6,93,74,2.59,broken clouds
204,Pyaozerskiy,RU,65.83,31.17,52.03,77,91,8.08,overcast clouds
205,Ust-Koksa,RU,50.27,85.61,52.39,83,99,4.72,light rain
206,Reconquista,AR,-29.15,-59.65,74.64,56,100,12.01,overcast clouds
207,Labrea,BR,-7.26,-64.8,79.36,41,66,1.36,broken clouds
208,Alamor,EC,-4.02,-80.02,61.86,70,51,5.01,broken clouds
209,Berea,US,41.37,-81.85,84.99,58,40,9.17,scattered clouds
210,Lima,PE,-12.04,-77.03,62.6,77,75,17.22,broken clouds
211,Tiszasuly,HU,47.38,20.4,64.4,77,75,2.24,broken clouds
212,Takoradi,GH,4.88,-1.76,73.11,89,84,6.91,broken clouds
213,Port Blair,IN,11.67,92.75,81.19,78,100,5.66,overcast clouds
214,Nagapattinam,IN,10.77,79.83,81.1,84,100,8.99,overcast clouds
215,Sambava,MG,-14.27,50.17,71.64,81,90,9.71,light rain
216,Rodrigues Alves,BR,-7.74,-72.65,75.27,66,8,2.21,clear sky
217,Abong Mbang,CM,3.98,13.18,66.36,98,99,2.53,overcast clouds
218,Kashi,CN,39.45,75.98,78.8,27,0,6.71,clear sky
219,Lebu,CL,-37.62,-73.65,51.66,89,97,23.26,light rain
220,Sayyan,YE,15.17,44.32,66.51,48,80,2.21,broken clouds
221,Gazanjyk,TM,39.24,55.52,68.54,47,13,9.51,few clouds
222,Marsh Harbour,BS,26.54,-77.06,84.42,79,2,16.15,clear sky
223,Ullapool,GB,57.9,-5.16,50.0,88,20,1.99,few clouds
224,Nouadhibou,MR,20.93,-17.03,73.4,88,0,4.7,clear sky
225,Hithadhoo,MV,-0.6,73.08,83.21,67,100,2.73,overcast clouds
226,Carbonia,IT,39.17,8.52,75.2,88,5,6.93,clear sky
227,Turayf,SA,31.67,38.66,77.0,33,0,9.17,clear sky
228,Qaqortoq,GL,60.72,-46.03,48.2,76,23,3.36,few clouds
229,Maceio,BR,-9.67,-35.74,73.4,78,0,3.36,clear sky
230,Usogorsk,RU,63.41,48.69,53.74,95,38,3.8,scattered clouds
231,Boa Vista,BR,2.82,-60.67,84.2,62,40,5.82,scattered clouds
232,Abbeville,FR,50.1,1.83,60.01,75,100,7.34,overcast clouds
233,Severodvinsk,RU,64.56,39.83,57.2,93,40,2.24,scattered clouds
234,Rebrikha,RU,53.07,82.34,55.02,82,99,1.21,overcast clouds
235,Tortosa,ES,40.81,0.52,75.0,89,30,4.45,scattered clouds
236,Manicore,BR,-5.81,-61.3,79.59,39,0,0.4,clear sky
237,Lagoa,PT,39.05,-27.98,73.36,92,36,17.85,scattered clouds
238,Soubre,CI,5.79,-6.61,69.85,92,78,2.8,broken clouds
239,Arraial Do Cabo,BR,-22.97,-42.03,64.4,93,75,3.36,broken clouds
240,Manacapuru,BR,-3.3,-60.62,80.6,78,20,2.01,few clouds
241,Dolores,AR,-36.31,-57.68,55.96,90,89,8.63,overcast clouds
242,Valparaiso,CL,-33.04,-71.63,54.0,87,90,17.22,shower rain
243,El Alto,PE,-4.27,-81.21,60.24,84,2,21.79,clear sky
244,Muravlenko,RU,63.79,74.52,51.26,95,100,10.33,light rain
245,Vestmannaeyjar,IS,63.44,-20.27,52.07,71,90,6.78,overcast clouds
246,Kaka,TM,37.35,59.61,70.75,39,10,6.2,clear sky
247,Sohna,IN,28.25,77.07,84.0,88,40,5.82,mist
248,Rio Gallegos,AR,-51.62,-69.22,33.8,69,0,5.82,clear sky
249,Faya,SA,18.39,42.45,73.4,53,40,5.82,scattered clouds
250,Buchanan,LR,5.88,-10.05,76.59,82,98,10.29,overcast clouds
251,Hearst,CA,49.68,-83.67,64.81,70,45,6.17,scattered clouds
252,Havre-Saint-Pierre,CA,50.23,-63.6,53.6,87,1,6.93,clear sky
253,Buraydah,SA,26.33,43.98,91.4,36,71,8.05,broken clouds
254,Stornoway,GB,58.21,-6.39,55.4,66,43,4.7,scattered clouds
255,Nortelandia,BR,-14.45,-56.8,86.43,25,64,2.64,broken clouds
256,Caravelas,BR,-17.71,-39.25,68.86,72,6,11.16,clear sky
257,Hofn,IS,64.25,-15.21,49.64,80,38,4.41,scattered clouds
258,Baghdad,IQ,33.34,44.4,78.8,36,0,6.93,clear sky
259,Dingle,PH,11.0,122.67,81.64,80,33,3.38,scattered clouds
260,Macherla,IN,16.48,79.43,79.34,79,87,6.26,overcast clouds
261,Altamira,BR,-3.2,-52.21,72.0,92,45,1.74,scattered clouds
262,Barzas,RU,55.72,86.32,50.0,100,40,4.47,fog
263,Maseru,LS,-29.32,27.48,44.08,61,0,3.53,clear sky
264,Sabha,LY,27.04,14.43,81.09,38,0,11.14,clear sky
265,Namibe,AO,-15.2,12.15,66.07,87,95,3.38,overcast clouds
266,Garowe,SO,8.41,48.48,75.36,63,0,20.07,clear sky
267,Emirdag,TR,39.02,31.15,64.51,40,0,0.38,clear sky
268,Guanica,PR,17.97,-66.91,82.0,84,99,2.71,overcast clouds
269,Wana,PK,32.3,69.57,76.23,58,3,4.83,clear sky
270,Sar-E Pul,AF,35.83,66.17,54.84,61,29,0.56,scattered clouds
271,Bilecik,TR,40.0,30.17,68.0,77,0,2.24,clear sky
272,Beyla,GN,8.68,-8.63,66.85,97,60,5.61,broken clouds
273,Pavino,RU,59.11,46.14,58.8,96,100,7.16,overcast clouds
274,Yellapur,IN,14.97,74.72,68.56,100,73,2.44,broken clouds
